"","minG","firstQG","medianG","meanG","thirdQG","maxG","stdG","stringAssignValues","fit_estimate","fit_sd","theoretical_mean","theoretical_std","p.value"
"enc_1234",1606.49495372102,1864.10429990504,1916.03247772482,1915.82691633762,1966.86260415638,2249.43024984056,76.339352027066," 1 ,  2 ,  3 ,  4 , ",-8.71295529712998,-1.93694911608173,2082.7520591285,77.8175741079179,0
"enc_1243",1614.04308721525,1864.32936430252,1915.53629600211,1916.04272679884,1967.30334879861,2270.23681023776,76.1049416102802," 1 ,  2 ,  4 ,  3 , ",-8.70071058426718,-2.25092455870851,2082.7520591285,77.8175741079179,0
"enc_1423",1703.12276902222,2026.68369407877,2082.77260771571,2082.79655699479,2139.2752629375,2443.7595617871,83.5096705160079," 1 ,  4 ,  2 ,  3 , ",0.00213644804311677,6.81557483039063,2082.7520591285,77.8175741079179,0.640165588099206
"enc_4123",1741.9965909698,2025.97370919013,2082.15117542025,2082.49175080101,2139.2991932275,2478.0464862275,83.5062029303947," 4 ,  1 ,  2 ,  3 , ",-0.0124998491541198,6.81170535769574,2082.7520591285,77.8175741079179,0.204768734617722
"enc_4132",1721.74455646991,2026.22885531951,2082.7315105413,2082.70756126222,2138.82042417824,2462.38134923479,83.5096705160079," 4 ,  1 ,  3 ,  2 , ",-0.0021365393352224,6.81557483039063,2082.7520591285,77.8175741079179,0.48316647720119
"enc_1432",1687.45763202951,2026.20492502951,2083.35294283676,2083.012367456,2139.53040906688,2423.5075272872,83.5062029303947," 1 ,  4 ,  3 ,  2 , ",0.0124967250105687,6.81170535769574,2082.7520591285,77.8175741079179,0.920842913519805
"enc_1342",1665.49904413405,1947.48230287109,1999.34703679433,1999.63545235803,2051.89989150344,2324.51919302412,77.0097723649111," 1 ,  3 ,  4 ,  2 , ",-4.15658797569655,-1.04952143298878,2082.7520591285,77.8175741079179,0
"enc_1324",1662.92831179292,1946.87495694763,1999.01715242774,1999.2038314356,2051.44881711339,2368.26424251996,77.2451856878053," 1 ,  3 ,  2 ,  4 , ",-4.17907500872035,-0.741561740671543,2082.7520591285,77.8175741079179,0
"enc_3124",1694.7215781792,1946.50705661758,1998.90772810707,1999.00062730641,2051.39415213985,2315.9535803982,77.4937637131815," 3 ,  1 ,  2 ,  4 , ",-4.1896651095575,-0.418411369713946,2082.7520591285,77.8175741079179,0
"enc_3142",1662.3335273942,1947.13262328029,1998.99539282306,1999.43224822884,2051.44457026305,2341.72374438297,77.2691019776091," 3 ,  1 ,  4 ,  2 , ",-4.16717350505243,-0.710380268074901,2082.7520591285,77.8175741079179,0
"enc_3412",1924.7845585178,2198.24759985393,2249.92095529258,2249.56299352277,2301.34456802861,2565.4564339807,76.3635520153099," 3 ,  4 ,  1 ,  2 , ",7.41525953594388,-1.9046447915037,2082.7520591285,77.8175741079179,0
"enc_4312",1895.26730801925,2198.2007694584,2249.9678222549,2249.46139145817,2301.17475395449,2551.46103104176,76.1049416102802," 4 ,  3 ,  1 ,  2 , ",7.41107773455055,-2.25092455870851,2082.7520591285,77.8175741079179,0
"enc_4321",1916.07386841645,2198.64151410063,2249.47164053219,2249.67720191939,2301.39981835197,2559.00916453599,76.339352027066," 4 ,  3 ,  2 ,  1 , ",7.4199597457121,-1.93694911608173,2082.7520591285,77.8175741079179,0
"enc_3421",1920.92019379124,2197.84522136763,2250.03601817616,2249.77880398398,2301.82767906319,2556.20845909538,76.5946506764221," 3 ,  4 ,  2 ,  1 , ",7.4241407448456,-1.59718171458569,2082.7520591285,77.8175741079179,0
"enc_3241",1773.34693011851,2034.95232195917,2083.19044507493,2083.02497378803,2131.25828751323,2389.63501892426,71.104357795227," 3 ,  2 ,  4 ,  1 , ",0.0131018428946936,-9.44196508389025,2082.7520591285,77.8175741079179,0.885938857570855
