"","minG","firstQG","medianG","meanG","thirdQG","maxG","stdG","stringAssignValues","fit_estimate","fit_sd","theoretical_mean","theoretical_std","p.value"
"enc_1234",1768.57548530401,2029.93766624839,2082.92532167809,2082.93377814259,2135.70360022462,2427.33345091958,78.0165912424512," 1 ,  2 ,  3 ,  4 , ",0.00872418585688301,0.254541768503168,2082.7520591285,77.8175741079179,0.171719884831696
"enc_1243",1733.75934491955,2030.44337401321,2082.75503492801,2083.03906812196,2135.60246474117,2406.18456788924,77.8697566919331," 1 ,  2 ,  4 ,  3 , ",0.0137783778445046,0.0664574576252018,2082.7520591285,77.8175741079179,0.0978891447852635
"enc_1423",1728.3842340289,2030.69051010835,2083.463545589,2083.17977671637,2135.65696214262,2434.43001579853,77.6854719053747," 1 ,  4 ,  2 ,  3 , ",0.0205319575700079,-0.170604004521603,2082.7520591285,77.8175741079179,0.0412128469615066
"enc_4123",1718.32156254949,2029.41115292455,2082.12603859226,2082.21905156127,2134.56662058035,2422.42760015594,77.4455706462791," 4 ,  1 ,  2 ,  3 , ",-0.0255980544811687,-0.480900046303058,2082.7520591285,77.8175741079179,0.559848800489497
"enc_4132",1731.07410245848,2029.84715611439,2082.04057266801,2082.32434154064,2134.81360814866,2437.11988422811,77.6854719053747," 4 ,  1 ,  3 ,  2 , ",-0.0205403922592546,-0.170604004521603,2082.7520591285,77.8175741079179,0.768269360335224
"enc_1432",1743.07651810107,2030.93749767666,2083.37807966475,2083.28506669574,2136.09296533246,2447.18255570752,77.4455706462791," 1 ,  4 ,  3 ,  2 , ",0.0255849559792276,-0.480900046303058,2082.7520591285,77.8175741079179,0.0196742517479656
"enc_1342",1740.81572629958,2030.70344449864,2083.19942840476,2083.21471239854,2135.59371407577,2409.81709735777,77.4353703618479," 1 ,  3 ,  4 ,  2 , ",0.0222086214770953,-0.494136035949539,2082.7520591285,77.8175741079179,0.032336501928012
"enc_1324",1715.40829291784,2030.47711155996,2083.0577138421,2083.00413243979,2135.35849909694,2403.62088384753,77.8225045686679," 1 ,  3 ,  2 ,  4 , ",0.0121014311666238,0.00577999553740919,2082.7520591285,77.8175741079179,0.118674796717732
"enc_3124",1690.4601510033,2029.48703875045,2082.40356294819,2082.36364900306,2134.8349129792,2402.20821623683,77.5329489401008," 3 ,  1 ,  2 ,  4 , ",-0.0186523677376662,-0.367659808085179,2082.7520591285,77.8175741079179,0.851282677065786
"enc_3142",1776.05523740498,2030.33786122876,2082.56741224855,2082.5742289618,2135.12613285294,2412.76857883983,77.784931425731," 3 ,  1 ,  4 ,  2 , ",-0.00853895934307758,-0.0425210963608109,2082.7520591285,77.8175741079179,0.698380064490365
"enc_3412",1751.19387833334,2030.7256387358,2082.79191494315,2082.78529185342,2135.67146631477,2414.2585287768,77.9791116175162," 3 ,  4 ,  1 ,  2 , ",0.00159559053165967,0.206600437986081,2082.7520591285,77.8175741079179,0.335895007686848
