"","minG","firstQG","medianG","meanG","thirdQG","maxG","stdG","stringAssignValues","fit_estimate","fit_sd","theoretical_mean","theoretical_std","p.value"
"enc_1234",1911.08644822739,2095.93444777448,2127.0346239094,2128.77321456527,2161.25282805339,2361.6362675791,48.0708475922686," 1 ,  2 ,  3 ,  4 , ",2.16186276311074,-61.8818969806465,2082.7520591285,77.8175741079179,0
"enc_1243",1850.170545202,2184.66043874406,2224.09690682231,2222.60053370106,2263.89205877376,2488.79316959016,64.074182888864," 1 ,  2 ,  4 ,  3 , ",6.29211018588579,-21.4498515135407,2082.7520591285,77.8175741079179,0
"enc_1423",1695.50395571807,1932.01234649871,1963.84473889008,1963.10652907399,1993.63762546858,2193.92338755054,46.9987453227016," 1 ,  4 ,  2 ,  3 , ",-6.09470389316836,-65.5746327752535,2082.7520591285,77.8175741079179,0
"enc_4123",1737.7681259261,2051.16539949745,2103.46306080578,2108.57027004723,2163.36981814722,2614.86831865795,86.1513947590804," 4 ,  1 ,  2 ,  3 , ",1.22444156998108,9.67296560356874,2082.7520591285,77.8175741079179,0
"enc_4132",1971.58073070646,2171.86649278843,2201.65937936693,2202.39758918302,2233.4917717583,2470.00016253893,46.9987453227016," 4 ,  1 ,  3 ,  2 , ",5.43251275982814,-65.5746327752535,2082.7520591285,77.8175741079179,0
"enc_1432",1550.63579959906,2002.13430010979,2062.04105745123,2056.93384820978,2114.33871875956,2427.73599233091,86.1513947590804," 1 ,  4 ,  3 ,  2 , ",-1.25517944785589,9.67296560356874,2082.7520591285,77.8175741079179,0
"enc_1342",1627.96909434102,2131.92723908714,2193.2324280395,2186.68085052332,2247.03056048111,2605.58163968806,92.7349650241491," 1 ,  3 ,  4 ,  2 , ",4.75281024068705,16.0855886916275,2082.7520591285,77.8175741079179,0
"enc_1324",1824.15135350122,1971.07983269247,1996.82211418687,1999.02621225173,2025.75309542925,2206.11345940129,39.8986021856273," 1 ,  3 ,  2 ,  4 , ",-4.18833161684577,-95.0394142005113,2082.7520591285,77.8175741079179,0
"enc_3124",1711.10908664351,2034.9094557286,2088.33198007336,2096.00203956722,2152.61293391619,2572.92798987068,91.3339373311837," 3 ,  1 ,  2 ,  4 , ",0.632154940147505,14.7983736922827,2082.7520591285,77.8175741079179,7.80843742004242e-245
"enc_3142",2092.83947227544,2260.36117619041,2285.50282364816,2283.65667783881,2308.99538926424,2427.29836174449,38.0519124093455," 3 ,  1 ,  4 ,  2 , ",8.79749660533192,-104.504833134031,2082.7520591285,77.8175741079179,0
"enc_3412",1691.0260708846,1863.93463952507,1894.50707336638,1894.4156708982,1924.40842257605,2114.56440353429,46.5495002108581," 3 ,  4 ,  1 ,  2 , ",-9.94166122691568,-67.1725789203814,2082.7520591285,77.8175741079179,0
"enc_4312",1676.71094866685,1901.61205948325,1941.4072114347,1942.90358455595,1980.84367951295,2315.33357305501,64.074182888864," 4 ,  3 ,  1 ,  2 , ",-7.19791119251646,-21.4498515135407,2082.7520591285,77.8175741079179,0
"enc_4321",1803.86785067791,2004.25129020362,2038.46949434761,2036.73090369174,2069.56967048253,2254.41767002962,48.0708475922686," 4 ,  3 ,  2 ,  1 , ",-2.25955993270122,-61.8818969806465,2082.7520591285,77.8175741079179,0
"enc_3421",1669.32629678089,1947.39058279981,1990.97410490212,1988.242990034,2031.35476415564,2257.76737262107,62.0291486582076," 3 ,  4 ,  2 ,  1 , ",-4.75339631867083,-25.4539223258274,2082.7520591285,77.8175741079179,0
"enc_3241",1900.70059727797,2215.22017770129,2255.90059980277,2247.73699466107,2288.40884051545,2483.7961971579,61.8639338864225," 3 ,  2 ,  4 ,  1 , ",7.34004627429473,-25.7889614971911,2082.7520591285,77.8175741079179,0
"enc_3214",1565.58904255969,1904.53257022955,1956.39486167973,1966.25503725369,2019.69796691213,2469.06998004966,95.0806345841802," 3 ,  2 ,  1 ,  4 , ",-5.92481746607668,18.1557839644589,2082.7520591285,77.8175741079179,0
"enc_2314",1681.70792109911,1877.09527774156,1909.60351845424,1917.76712359594,1950.28394055572,2264.80352097904,61.8639338864225," 2 ,  3 ,  1 ,  4 , ",-8.6029702721781,-25.7889614971911,2082.7520591285,77.8175741079179,0
"enc_2341",1696.43413820735,2145.80615134488,2209.10925657728,2199.24908100332,2260.97154802745,2599.91507569732,95.0806345841802," 2 ,  3 ,  4 ,  1 , ",5.29712722770227,18.1557839644589,2082.7520591285,77.8175741079179,0
"enc_2431",1592.57612838633,2012.89118434082,2077.17213818365,2069.50207868979,2130.59466252841,2454.3950316135,91.3339373311837," 2 ,  4 ,  3 ,  1 , ",-0.640249680111714,14.7983736922827,2082.7520591285,77.8175741079179,2.44298288679335e-239
"enc_4231",1959.39065885572,2139.75102282776,2168.68200407014,2166.47790600528,2194.42428556454,2341.35276475578,39.8986021856273," 4 ,  2 ,  3 ,  1 , ",3.86460654155269,-95.0394142005113,2082.7520591285,77.8175741079179,0
"enc_4213",1559.92247856895,1918.4735577759,1972.2716902175,1978.82326773369,2033.57687916987,2537.53502391599,92.7349650241491," 4 ,  2 ,  1 ,  3 , ",-5.25205020021029,16.0855886916275,2082.7520591285,77.8175741079179,0
"enc_2413",1738.20575651252,1856.50872899276,1880.00129460885,1881.8474404182,1905.1429420666,2072.66464598157,38.0519124093455," 2 ,  4 ,  1 ,  3 , ",-10.6759248595443,-104.504833134031,2082.7520591285,77.8175741079179,0
"enc_2143",2050.93971472272,2241.09569568096,2270.99704489062,2271.08844735881,2301.56947873194,2474.47804737241,46.5495002108581," 2 ,  1 ,  4 ,  3 , ",8.29278086678348,-67.1725789203814,2082.7520591285,77.8175741079179,0
"enc_2134",1907.73674563593,2134.14935410137,2174.53001335489,2177.26112822301,2218.1135354572,2496.17782147612,62.0291486582076," 2 ,  1 ,  3 ,  4 , ",4.34073193469639,-25.4539223258274,2082.7520591285,77.8175741079179,0
