"","minG","firstQG","medianG","meanG","thirdQG","maxG","stdG","stringAssignValues","fit_estimate","fit_sd","theoretical_mean","theoretical_std","p.value"
"enc_1234",1075.43300210131,1980.50730614401,2067.46621193101,2063.94875679363,2153.76047332994,2935.78353976177,139.505253070844," 1 ,  2 ,  3 ,  4 , ",-0.911035328419842,44.2185833734455,2082.7520591285,77.8175741079179,1.89987641548483e-265
"enc_1243",1082.53928198552,1943.16624884527,2044.67156790625,2037.33962796481,2138.62863626769,2969.09462907377,148.350415717803," 1 ,  2 ,  4 ,  3 , ",-2.22900642290336,47.544463522499,2082.7520591285,77.8175741079179,0
"enc_1423",1052.20964461596,1931.13403829147,2035.20781858163,2034.47476049901,2145.00739449223,2878.33678029481,157.43369870546," 1 ,  4 ,  2 ,  3 , ",-2.37296129531032,50.5709342591479,2082.7520591285,77.8175741079179,0
"enc_4123",1108.00309775739,2021.1887040513,2160.60363032924,2157.58772292154,2300.18766637795,3151.22469105276,195.969589064711," 4 ,  1 ,  2 ,  3 , ",3.46848765396667,60.2907742967811,2082.7520591285,77.8175741079179,0
"enc_4132",1287.1673379622,2020.41855616186,2130.21864475391,2130.97859409272,2234.32687920826,3113.29447364105,157.427485442178," 4 ,  1 ,  3 ,  2 , ",2.2631168186252,50.5689834193795,2082.7520591285,77.8175741079179,0
"enc_1432",1014.27942720425,1865.28274903747,2004.88090201309,2007.86563167019,2144.28745617847,3057.50102049962,195.977988290081," 1 ,  4 ,  3 ,  2 , ",-3.72965333322756,60.2924761549278,2082.7520591285,77.8175741079179,0
"enc_1342",1030.53356107413,1867.297267045,2006.82456930952,2009.29806540309,2146.83041368612,3019.42860789183,195.592641151649," 1 ,  3 ,  4 ,  2 , ",-3.65570419790744,60.2142463166382,2082.7520591285,77.8175741079179,0
"enc_1324",1089.91324031334,1968.20440848928,2064.90566704979,2062.51632306073,2162.07956587356,2940.48074481661,148.621494600368," 1 ,  3 ,  2 ,  4 , ",-0.981118832443794,47.6401400479631,2082.7520591285,77.8175741079179,5.27331226319824e-279
"enc_3124",1100.800443516,2014.47663316268,2147.21731339428,2144.59163134242,2280.98909537497,3197.51431313694,188.742526081067," 3 ,  1 ,  2 ,  4 , ",2.88351270750804,58.7702845526435,2082.7520591285,77.8175741079179,0
"enc_3142",1344.26451021776,2009.78888995217,2092.36935467198,2091.37337368478,2173.32467467211,2930.91782770442,124.371680878885," 3 ,  1 ,  4 ,  2 , ",0.412232204194358,37.4310889090923,2082.7520591285,77.8175741079179,3.13474552255146e-73
"enc_3412",1291.53278408282,2016.85734149187,2085.69972817766,2087.07607248607,2155.90986742078,2822.80505924585,113.320235084568," 3 ,  4 ,  1 ,  2 , ",0.207180438440491,31.3291166636718,2082.7520591285,77.8175741079179,2.60156830270994e-23
"enc_4312",1196.40948918324,2026.84804572279,2120.77525401951,2128.11372662691,2222.25938364419,3082.96483627149,148.343126656008," 4 ,  3 ,  1 ,  2 , ",2.13154339125974,47.5418860411183,2082.7520591285,77.8175741079179,0
"enc_4321",1229.72057849524,2011.7288230042,2098.02322311808,2101.50459779809,2184.98216506893,3090.0711161557,139.502289434247," 4 ,  3 ,  2 ,  1 , ",0.892338693393145,44.2173983330534,2082.7520591285,77.8175741079179,2.49151374402972e-277
"enc_3421",1098.05047285144,1971.49451471748,2064.6285836101,2060.46694365725,2155.51677252768,2950.30664434726,139.203343715233," 3 ,  4 ,  2 ,  1 , ",-1.08155656366418,44.0976025758631,2082.7520591285,77.8175741079179,0
"enc_3241",1101.2693486763,1958.78032840039,2062.13957282317,2063.33181112306,2171.90139068785,2937.8680381883,153.637689124501," 3 ,  2 ,  4 ,  1 , ",-0.941208190595262,49.3496635657437,2082.7520591285,77.8175741079179,5.48231180467504e-244
"enc_3214",1162.32589186034,2007.8128717219,2148.04311841341,2143.15919760951,2284.63942811358,3195.90487522451,192.934886540669," 3 ,  2 ,  1 ,  4 , ",2.81860248871791,59.6661817742467,2082.7520591285,77.8175741079179,0
"enc_2314",1227.63608006871,1993.56654303858,2103.32758765002,2102.12154346867,2206.659853019,3064.23476958071,153.634015234888," 2 ,  3 ,  1 ,  4 , ",0.921425518916632,49.3484523512569,2082.7520591285,77.8175741079179,1.49965371726649e-254
"enc_2341",969.599243032504,1880.79869076616,2017.38230598947,2022.29415698221,2157.66009464429,3003.17822639666,192.942345751109," 2 ,  3 ,  4 ,  1 , ",-2.9895701343721,59.6677410920668,2082.7520591285,77.8175741079179,0
"enc_2431",967.98980512007,1884.45903927975,2018.26504388405,2020.86172324931,2151.01757420687,3064.70367474101,188.749877721488," 2 ,  4 ,  3 ,  1 , ",-3.06257153407229,58.7718904135123,2082.7520591285,77.8175741079179,0
"enc_4231",1225.02337344039,2003.39543145859,2100.54263087079,2102.937031531,2197.27877791832,3075.59087794367,148.619059784903," 4 ,  2 ,  3 ,  1 , ",0.959846733394443,47.6392822401088,2082.7520591285,77.8175741079179,1.37482787507717e-290
"enc_4213",1146.07551036518,2018.65013637892,2158.65300789923,2156.15528918863,2298.12931171917,3134.97055718288,195.583961677785," 4 ,  2 ,  1 ,  3 , ",3.40435730339961,60.2124807352158,2082.7520591285,77.8175741079179,0
"enc_2413",1234.58629055259,1992.13830132808,2073.0706157702,2074.07998090695,2155.65571331645,2821.23960803924,124.37209780273," 2 ,  4 ,  1 ,  3 , ",-0.418116866340242,37.4312986544569,2082.7520591285,77.8175741079179,1.09117289101396e-66
"enc_2143",1342.69905901116,2009.55598524947,2079.75443974313,2078.37728210566,2148.59006337588,2873.97133417419,113.322058047099," 2 ,  1 ,  4 ,  3 , ",-0.210490032801684,31.3302213422261,2082.7520591285,77.8175741079179,1.57787542004181e-19
"enc_2134",1215.19747390974,2009.93520556309,2100.82798921136,2104.98641093448,2193.97236634904,3067.45364540557,139.200029889755," 2 ,  1 ,  3 ,  4 , ",1.05627056262569,44.0962717515161,2082.7520591285,77.8175741079179,0
